EN,EM,Description,Composition strategy,Attribute
intelligent solution,🤓🔍,"[':nerd_face:', ':magnifying_glass_tilted_left:']",Metaphorical,REASONABLENESS
puzzling statement,🗣️❓⁉️🤔🤷,"[':speaking_head:', ':red_question_mark:', ':exclamation_question_mark:', ':thinking_face:', ':person_shrugging:']",Metaphorical,CLARITY
effective reprimand,😤🗣️💬,"[':face_with_steam_from_nose:', ':speaking_head:', ':speech_balloon:']",Metaphorical,EFFICACY
full auditorium,🎫🧑👨🧑‍🦱👩‍🦱🈵,"[':ticket:', ':person:', ':man:', ':person_curly_hair:', ':woman_curly_hair:', ':Japanese_no_vacancy_button:']",Metaphorical,FULLNESS
effective step,👍👣💡💬,"[':thumbs_up:', ':footprints:', ':light_bulb:', ':speech_balloon:']",Metaphorical,EFFECTIVENESS
constant lover,💑😁,"[':couple_with_heart:', ':beaming_face_with_smiling_eyes:']",Metaphorical,CONSTANCY
fresh scent,😋👃,"[':face_savoring_food:', ':nose:']",Metaphorical,FRESHNESS
right hand,🤲🤚,"[':palms_up_together:', ':raised_back_of_hand:']",Metaphorical,POSITION
dry land,☀️🏜,"[':sun:', ':desert:']",Metaphorical,WETNESS
dirty dish,🧼🍽️🧫,"[':soap:', ':fork_and_knife_with_plate:', ':petri_dish:']",Metaphorical,CLEANNESS
cozy room,🛋️☕🖥️,"[':couch_and_lamp:', ':hot_beverage:', ':desktop_computer:']",Metaphorical,FRIENDLINESS
big day,👰💒🤵‍♂,"[':person_with_veil:', ':wedding:', ':man_in_tuxedo:']",Metaphorical,IMPORTANCE
bright future,⏳⏩👍👍,"[':hourglass_not_done:', ':fast-forward_button:', ':thumbs_up:', ':thumbs_up:']",Metaphorical,AUSPICIOUSNESS
right thing,👍✅,"[':thumbs_up:', ':check_mark_button:']",Metaphorical,RIGHTNESS
high price,💲🤯👆,"[':heavy_dollar_sign:', ':exploding_head:', ':backhand_index_pointing_up:']",Metaphorical,DEGREE
right hand,👉✔️,"[':backhand_index_pointing_right:', ':check_mark:']",Metaphorical,POSITION
big business,👨‍💻🤝,"[':man_technologist:', ':handshake:']",Metaphorical,SIZE
domestic chore,🏠⌨️,"[':house:', ':keyboard:']",Metaphorical,DOMESTICITY
common parlance,👩‍💼🗣💼,"[':woman_office_worker:', ':speaking_head:', ':briefcase:']",Metaphorical,FORMALITY
fresh air,🌍👍💨✖️🚬,"[':globe_showing_Europe-Africa:', ':thumbs_up:', ':dashing_away:', ':multiply:', ':cigarette:']",Metaphorical,PURITY
average people,👨🧑🤷,"[':man:', ':person:', ':person_shrugging:']",Metaphorical,COMMONNESS
dirty slum,🥴🧟‍♂️,"[':woozy_face:', ':man_zombie:']",Metaphorical,CLEANNESS
hot forehead,🥵🤒🤒,"[':hot_face:', ':face_with_thermometer:', ':face_with_thermometer:']",Metaphorical,TEMPERATURE
sound thrashing,😡🧹😭,"[':pouting_face:', ':broom:', ':loudly_crying_face:']",Metaphorical,COMPLETENESS
domestic happiness,🏡🥰🍼👶💰,"[':house_with_garden:', ':smiling_face_with_hearts:', ':baby_bottle:', ':baby:', ':money_bag:']",Metaphorical,DOMESTICITY
short life,👶🧓⚰️⌛🤏,"[':baby:', ':older_person:', ':coffin:', ':hourglass_done:', ':pinching_hand:']",Metaphorical,DURATION
dirty money,🚓🛑💵💵💵,"[':police_car:', ':stop_sign:', ':dollar_banknote:', ':dollar_banknote:', ':dollar_banknote:']",Metaphorical,LEGALITY
delicate flavor,😋🤔,"[':face_savoring_food:', ':thinking_face:']",Metaphorical,STRENGTH
sound approach,👦🔍📝,"[':boy:', ':magnifying_glass_tilted_left:', ':memo:']",Metaphorical,REASONABLENESS
deep sleep,😴😪🛌,"[':sleeping_face:', ':sleepy_face:', ':person_in_bed:']",Metaphorical,DEPTH
dirty fighter,❌⚖️ 💪👨‍🦲💢,"[':cross_mark:', ':balance_scale:', ':flexed_biceps:', ':man_bald:', ':anger_symbol:']",Metaphorical,FAIRNESS
cozy nook,🍁🍂🔥,"[':maple_leaf:', ':fallen_leaf:', ':fire:']",Metaphorical,COMFORT
dull day,🌫️🌥️,"[':fog:', ':sun_behind_large_cloud:']",Metaphorical,DULLNESS
critical illness,🤮🤒🌡️🌡️,"[':face_vomiting:', ':face_with_thermometer:', ':thermometer:', ':thermometer:']",Metaphorical,CRISIS
average merit,📝👌,"[':memo:', ':OK_hand:']",Metaphorical,ORDINARINESS
thick smoke,🔥💨💨💨💨,"[':fire:', ':dashing_away:', ':dashing_away:', ':dashing_away:', ':dashing_away:']",Metaphorical,THICKNESS
cool room,❄️💨🏠,"[':snowflake:', ':dashing_away:', ':house:']",Metaphorical,TEMPERATURE
sound explanation,🗣🧏‍♀️,"[':speaking_head:', ':deaf_woman:']",Metaphorical,REASONABLENESS
thin oil,💧 🪔,"[':droplet:', ':diya_lamp:']",Metaphorical,CONSISTENCY
thin soup,💧🥫,"[':droplet:', ':canned_food:']",Metaphorical,CONSISTENCY
warm climate,🌡🏜,"[':thermometer:', ':desert:']",Metaphorical,TEMPERATURE
hot topic,🔥🔊🗣️🗣️🤔🤔👍👎,"[':fire:', ':speaker_high_volume:', ':speaking_head:', ':speaking_head:', ':thinking_face:', ':thinking_face:', ':thumbs_up:', ':thumbs_down:']",Metaphorical,EMOTIONALITY
right man,👩‍❤️‍💋‍👨👨‍👩‍👦‍👦,"[':kiss_woman_man:', ':family_man_woman_boy_boy:']",Metaphorical,APPROPRIATENESS
