EN,EM,Description,Composition strategy,Attribute
young father,👨🍼,"[':man:', ':baby_bottle:']",Direct,AGE
old grandmother,👵🏽🛴,"[':older_woman_medium_skin_tone:', ':kick_scooter:']",Direct,AGE
teenage dream,👩‍🎤🦋,"[':woman_singer:', ':butterfly:']",Direct,AGE
youthful glow,👦🌟,"[':boy:', ':glowing_star:']",Direct,AGE
advanced senior,🧓🎓,"[':older_adult:', ':graduation_cap:']",Direct,AGE
infant steps,👶👣,"[':baby:', ':footprints:']",Direct,AGE
midlife crisis,🧔⏳,"[':man_beard:', ':hourglass_not_done:']",Direct,AGE
ancient elder,🏺👴,"[':amphora:', ':old_man:']",Direct,AGE
proper attire,✔️👔,"[':check_mark:', ':necktie:']",Direct,APPROPRIATENESS
correct greeting,👍🙋,"[':thumbs_up:', ':person_raising_hand:']",Direct,APPROPRIATENESS
fitting speech,✔️🗣️,"[':check_mark:', ':speaking_head:']",Direct,APPROPRIATENESS
suitable partner,🤝💕,"[':handshake:', ':two_hearts:']",Direct,APPROPRIATENESS
apt reaction,✅😮,"[':check_mark_button:', ':face_with_open_mouth:']",Direct,APPROPRIATENESS
decent behavior,👍🫡,"[':thumbs_up:', ':saluting_face:']",Direct,APPROPRIATENESS
proper conduct,✅🧍,"[':check_mark_button:', ':person_standing:']",Direct,APPROPRIATENESS
reasonable dress,✔️👕,"[':check_mark:', ':t-shirt:']",Direct,APPROPRIATENESS
lucky star,🌟🍀,"[':glowing_star:', ':four_leaf_clover:']",Direct,AUSPICIOUSNESS
blessed sign,🙏✨,"[':folded_hands:', ':sparkles:']",Direct,AUSPICIOUSNESS
favorable omen,🔮🍀,"[':crystal_ball:', ':four_leaf_clover:']",Direct,AUSPICIOUSNESS
promising dawn,🌅🥳,"[':sunrise:', ':partying_face:']",Direct,AUSPICIOUSNESS
propitious symbol,🔆🍀,"[':bright_button:', ':four_leaf_clover:']",Direct,AUSPICIOUSNESS
good fortune,🀄💰,"[':mahjong_red_dragon:', ':money_bag:']",Direct,AUSPICIOUSNESS
auspicious day,📆🕊️,"[':tear-off_calendar:', ':dove:']",Direct,AUSPICIOUSNESS
lucky break,🌠🍀,"[':shooting_star:', ':four_leaf_clover:']",Direct,AUSPICIOUSNESS
pristine floor,🧼🧹,"[':soap:', ':broom:']",Direct,CLEANNESS
spotless sink,🧽🚰,"[':sponge:', ':potable_water:']",Direct,CLEANNESS
tidy counter,✅🧼,"[':check_mark_button:', ':soap:']",Direct,CLEANNESS
germ-free table,🦠❌🪑,"[':microbe:', ':cross_mark:', ':chair:']",Direct,CLEANNESS
hygienic tools,🩺🧼,"[':stethoscope:', ':soap:']",Direct,CLEANNESS
sanitized room,🧼🚪,"[':soap:', ':door:']",Direct,CLEANNESS
sterile bandage,🩹💦❌,"[':adhesive_bandage:', ':sweat_droplets:', ':cross_mark:']",Direct,CLEANNESS
pure linen,🤍👔,"[':white_heart:', ':necktie:']",Direct,CLEANNESS
lucid vision,👁️💡,"[':eye:', ':light_bulb:']",Direct,CLARITY
unambiguous statement,🗣️✅,"[':speaking_head:', ':check_mark_button:']",Direct,CLARITY
transparent hint,🔎💬,"[':magnifying_glass_tilted_right:', ':speech_balloon:']",Direct,CLARITY
straightforward response,➡️💬,"[':right_arrow:', ':speech_balloon:']",Direct,CLARITY
direct answer,🎯📄,"[':bullseye:', ':page_facing_up:']",Direct,CLARITY
crystal thought,🔮🧠,"[':crystal_ball:', ':brain:']",Direct,CLARITY
sheer explanation,🗣️💯,"[':speaking_head:', ':hundred_points:']",Direct,CLARITY
plain directive,➡️📢,"[':right_arrow:', ':loudspeaker:']",Direct,CLARITY
vibrant socks,🧦🌈,"[':socks:', ':rainbow:']",Direct,COLOR
pastel painting,🎨🌸,"[':artist_palette:', ':cherry_blossom:']",Direct,COLOR
neon sign,💡🟣,"[':light_bulb:', ':purple_circle:']",Direct,COLOR
bright palette,🔆🎨,"[':bright_button:', ':artist_palette:']",Direct,COLOR
monochrome view,⚪⚫,"[':white_circle:', ':black_circle:']",Direct,COLOR
colorful scarf,🧣🌈,"[':scarf:', ':rainbow:']",Direct,COLOR
dark tunic,⚫👕,"[':black_circle:', ':t-shirt:']",Direct,COLOR
pastel tie,👔🌸,"[':necktie:', ':cherry_blossom:']",Direct,COLOR
shared fields,👥🌾,"[':busts_in_silhouette:', ':sheaf_of_rice:']",Direct,COMMONALITY
collective orchard,👥🍎,"[':busts_in_silhouette:', ':red_apple:']",Direct,COMMONALITY
public orchard,🏞️👥🍐,"[':national_park:', ':busts_in_silhouette:', ':pear:']",Direct,COMMONALITY
communal farm,👩‍🌾👨‍🌾🏚️,"[':woman_farmer:', ':man_farmer:', ':derelict_house:']",Direct,COMMONALITY
shared meadow,👥🐑🌱,"[':busts_in_silhouette:', ':ewe:', ':seedling:']",Direct,COMMONALITY
open ranch,👨‍👩‍👧‍👦🏞️🐄,"[':family_man_woman_girl_boy:', ':national_park:', ':cow:']",Direct,COMMONALITY
collective pond,👥🐟🌊,"[':busts_in_silhouette:', ':fish:', ':water_wave:']",Direct,COMMONALITY
common grassland,👥🍀🍃,"[':busts_in_silhouette:', ':four_leaf_clover:', ':leaf_fluttering_in_wind:']",Direct,COMMONALITY
everyday chore,🕰️🧹,"[':mantelpiece_clock:', ':broom:']",Direct,COMMONNESS
frequent traffic,🚗🚗🚕,"[':automobile:', ':automobile:', ':taxi:']",Direct,COMMONNESS
usual complaint,😒💬,"[':unamused_face:', ':speech_balloon:']",Direct,COMMONNESS
typical errand,🛒🍎,"[':shopping_cart:', ':red_apple:']",Direct,COMMONNESS
regular folks,👥🙂,"[':busts_in_silhouette:', ':slightly_smiling_face:']",Direct,COMMONNESS
standard meal,🥪🥤,"[':sandwich:', ':cup_with_straw:']",Direct,COMMONNESS
common snack,🍟🍏,"[':french_fries:', ':green_apple:']",Direct,COMMONNESS
ordinary errands,🏧📮,"[':ATM_sign:', ':postbox:']",Direct,COMMONNESS
thin sauce,🤏🥫,"[':pinching_hand:', ':canned_food:']",Direct,CONSISTENCY
thick gravy,🍛🍲,"[':curry_rice:', ':pot_of_food:']",Direct,CONSISTENCY
viscous syrup,🍯🏺,"[':honey_pot:', ':amphora:']",Direct,CONSISTENCY
watery broth,💧🥣,"[':droplet:', ':bowl_with_spoon:']",Direct,CONSISTENCY
creamy texture,🥛🥄,"[':glass_of_milk:', ':spoon:']",Direct,CONSISTENCY
gooey spread,🟤🍞,"[':brown_circle:', ':bread:']",Direct,CONSISTENCY
clumpy mixture,🍙🥣,"[':rice_ball:', ':bowl_with_spoon:']",Direct,CONSISTENCY
runny batter,🏃‍♀️🥞,"[':woman_running:', ':pancakes:']",Direct,CONSISTENCY
unwavering friend,🔂👫,"[':repeat_single_button:', ':woman_and_man_holding_hands:']",Direct,CONSTANCY
loyal companion,🔁🐕,"[':repeat_button:', ':dog:']",Direct,CONSTANCY
enduring love,⏳💕,"[':hourglass_not_done:', ':two_hearts:']",Direct,CONSTANCY
perpetual ally,♾️🫂,"[':infinity:', ':people_hugging:']",Direct,CONSTANCY
steady caretaker,👨‍🍼🔂,"[':man_feeding_baby:', ':repeat_single_button:']",Direct,CONSTANCY
constant companion,🔃👩‍❤️‍👨,"[':clockwise_vertical_arrows:', ':couple_with_heart_woman_man:']",Direct,CONSTANCY
ever-present buddy,♾️👩‍❤️‍👩,"[':infinity:', ':couple_with_heart_woman_woman:']",Direct,CONSTANCY
unchanging partner,🔂🤝,"[':repeat_single_button:', ':handshake:']",Direct,CONSTANCY
ongoing cycle,🔄🔁,"[':counterclockwise_arrows_button:', ':repeat_button:']",Direct,CONTINUITY
never-ending loop,♾️🔄,"[':infinity:', ':counterclockwise_arrows_button:']",Direct,CONTINUITY
permanent process,♾️⚙️,"[':infinity:', ':gear:']",Direct,CONTINUITY
endless sorrow,🔂😢,"[':repeat_single_button:', ':crying_face:']",Direct,CONTINUITY
continuous thought,🔃🤔,"[':clockwise_vertical_arrows:', ':thinking_face:']",Direct,CONTINUITY
unbroken chain,♾️🔗,"[':infinity:', ':link:']",Direct,CONTINUITY
ceaseless work,🔄💼,"[':counterclockwise_arrows_button:', ':briefcase:']",Direct,CONTINUITY
steady hum,♾️🎶,"[':infinity:', ':musical_notes:']",Direct,CONTINUITY
accurate forecast,✔️🌤,"[':check_mark:', ':sun_behind_small_cloud:']",Direct,CORRECTNESS
valid conclusion,🧠✅,"[':brain:', ':check_mark_button:']",Direct,CORRECTNESS
right blueprint,🏗️✔️,"[':building_construction:', ':check_mark:']",Direct,CORRECTNESS
precise measure,📏✅,"[':straight_ruler:', ':check_mark_button:']",Direct,CORRECTNESS
proper identification,🪪👍,"[':identification_card:', ':thumbs_up:']",Direct,CORRECTNESS
authentic document,📝✔️,"[':memo:', ':check_mark:']",Direct,CORRECTNESS
exact number,🔢✅,"[':input_numbers:', ':check_mark_button:']",Direct,CORRECTNESS
correct guess,❓➡️✔️,"[':red_question_mark:', ':right_arrow:', ':check_mark:']",Direct,CORRECTNESS
