EN,EM,Description,Composition strategy,Attribute
light feather,🪶🪶,"[':emoji_1fab6:', ':emoji_1fab6:']",Reduplication,WEIGHT
extreme condition,🌡️🌡️🌡️,"[':emoji_1f321_fe0f:', ':emoji_1f321_fe0f:', ':emoji_1f321_fe0f:']",Reduplication,DEGREE
obvious sign,➡️➡️,"[':emoji_27a1_fe0f:', ':emoji_27a1_fe0f:']",Reduplication,CLARITY
viscous oil,🛢️🛢️🛢️,"[':emoji_1f6e2_fe0f:', ':emoji_1f6e2_fe0f:', ':emoji_1f6e2_fe0f:']",Reduplication,THICKNESS
mini doll,🪆🪆,"[':emoji_1fa86:', ':emoji_1fa86:']",Reduplication,SIZE
crucial element,💎💎,"[':emoji_1f48e:', ':emoji_1f48e:']",Reduplication,DISPENSABILITY
prompt action,🏃‍♂️🏃‍♂️,"[':emoji_1f3c3_200d_2642_fe0f:', ':emoji_1f3c3_200d_2642_fe0f:']",Reduplication,IMMEDIACY
short fence,💈💈,"[':emoji_1f488:', ':emoji_1f488:']",Reduplication,HEIGHT
sinister plan,😈😈,"[':emoji_1f608:', ':emoji_1f608:']",Reduplication,EVIL
giant tree,🌳🌳🌳🌳,"[':emoji_1f333:', ':emoji_1f333:', ':emoji_1f333:', ':emoji_1f333:']",Reduplication,SIZE
massive load,📦📦📦📦,"[':emoji_1f4e6:', ':emoji_1f4e6:', ':emoji_1f4e6:', ':emoji_1f4e6:']",Reduplication,WEIGHT
urgent conflict,⏰⏰,"[':emoji_23f0:', ':emoji_23f0:']",Reduplication,CRISIS
prompt action,🏃‍♂️🏃‍♂️,"[':emoji_1f3c3_200d_2642_fe0f:', ':emoji_1f3c3_200d_2642_fe0f:']",Reduplication,IMMEDIACY
serious meltdown,💥💥💥,"[':emoji_1f4a5:', ':emoji_1f4a5:', ':emoji_1f4a5:']",Reduplication,CRISIS
mundane task,📋📋📋,"[':emoji_1f4cb:', ':emoji_1f4cb:', ':emoji_1f4cb:']",Reduplication,COMMONNESS
roaring engine,🚂🚂🚂,"[':emoji_1f682:', ':emoji_1f682:', ':emoji_1f682:']",Reduplication,VOLUME
low valley,🏞️🏞️,"[':emoji_1f3de_fe0f:', ':emoji_1f3de_fe0f:']",Reduplication,HEIGHT
immediate response,🔜🔜🔜,"[':emoji_1f51c:', ':emoji_1f51c:', ':emoji_1f51c:']",Reduplication,IMMEDIACY
regular habit,🔁🔁🔁,"[':emoji_1f501:', ':emoji_1f501:', ':emoji_1f501:']",Reduplication,COMMONNESS
lavish sponsor,💸💸💸💸,"[':emoji_1f4b8:', ':emoji_1f4b8:', ':emoji_1f4b8:', ':emoji_1f4b8:']",Reduplication,GENEROSITY
lavish sponsor,💸💸💸💸,"[':emoji_1f4b8:', ':emoji_1f4b8:', ':emoji_1f4b8:', ':emoji_1f4b8:']",Reduplication,GENEROSITY
vital resource,💉💉💉,"[':emoji_1f489:', ':emoji_1f489:', ':emoji_1f489:']",Reduplication,DISPENSABILITY
